,names,prices,links,image_links
0,Halfmoon Mini Clutch - Smoke,$179.00,https://www.theahimsacollective.com//collections/all/products/halfmoon-mini-smoke,https://www.theahimsacollective.com//collections/all/products/halfmoon-mini-smoke
1,Halfmoon Mini Clutch - Granite,$179.00,https://www.theahimsacollective.com//collections/all/products/halfmoon-mini-granite,https://www.theahimsacollective.com//collections/all/products/halfmoon-mini-granite
2,Ziplock Foldover Crossbody Bag - Smoke,$279.00,https://www.theahimsacollective.com//collections/all/products/ziplock-foldover-smoke,https://www.theahimsacollective.com//collections/all/products/ziplock-foldover-smoke
3,Ziplock Foldover Crossbody Bag - Granite,$279.00,https://www.theahimsacollective.com//collections/all/products/ziplock-foldover-granite,https://www.theahimsacollective.com//collections/all/products/ziplock-foldover-granite
4,Zip the Lip Backpack - Smoke,$289.00,https://www.theahimsacollective.com//collections/all/products/zip-the-lip-smoke,https://www.theahimsacollective.com//collections/all/products/zip-the-lip-smoke
5,Zip the Lip Backpack - Granite,$289.00,https://www.theahimsacollective.com//collections/all/products/zip-the-lip-granite,https://www.theahimsacollective.com//collections/all/products/zip-the-lip-granite
6,Halfmoon Mini Clutch - Maroon,$139.00,https://www.theahimsacollective.com//collections/all/products/halfmoon-mini-clutch-maroon,https://www.theahimsacollective.com//collections/all/products/halfmoon-mini-clutch-maroon
7,Halfmoon Mini Clutch - Beige,$139.00,https://www.theahimsacollective.com//collections/all/products/halfmoon-mini-clutch-beige-deadstock,https://www.theahimsacollective.com//collections/all/products/halfmoon-mini-clutch-beige-deadstock
8,Ziplock Foldover Crossbody Bag - Maroon,$249.00,https://www.theahimsacollective.com//collections/all/products/copy-of-ziplock-foldover-granite-pinatex,https://www.theahimsacollective.com//collections/all/products/copy-of-ziplock-foldover-granite-pinatex
9,Coin Purse - Black Patent/Gold,$59.00,https://www.theahimsacollective.com//collections/all/products/coin-purse-black-patent-washable-paper-gold-hardware,https://www.theahimsacollective.com//collections/all/products/coin-purse-black-patent-washable-paper-gold-hardware
10,Coin Purse - Black Patent/Gunmetal,$59.00,https://www.theahimsacollective.com//collections/all/products/copy-of-on-the-cards-black-patent-washable-paper-pre-order,https://www.theahimsacollective.com//collections/all/products/copy-of-on-the-cards-black-patent-washable-paper-pre-order
11,Halfmoon Maxi Bag - Granite,$200.00,https://www.theahimsacollective.com//collections/all/products/halfmoon-maxi-granite,https://www.theahimsacollective.com//collections/all/products/halfmoon-maxi-granite
12,On the Cards Wallet - Black,$39.00,https://www.theahimsacollective.com//collections/all/products/on-the-cards-black-patent-washable-paper,https://www.theahimsacollective.com//collections/all/products/on-the-cards-black-patent-washable-paper
13,Get to the Shopper Tote Bag - Black,$200.00,https://www.theahimsacollective.com//collections/all/products/get-to-the-shopper,https://www.theahimsacollective.com//collections/all/products/get-to-the-shopper
14,Clutch Courage - Black,$139.00,https://www.theahimsacollective.com//collections/all/products/clutch-courage-pinatex,https://www.theahimsacollective.com//collections/all/products/clutch-courage-pinatex
15,Trendy A.F Tote Bag - White,$29.00,https://www.theahimsacollective.com//collections/all/products/ban-the-bag-trendy-a-f-white,https://www.theahimsacollective.com//collections/all/products/ban-the-bag-trendy-a-f-white
16,Trendy A.F Tote Bag - Black,$29.00,https://www.theahimsacollective.com//collections/all/products/ban-the-bag-trendy-a-f-black,https://www.theahimsacollective.com//collections/all/products/ban-the-bag-trendy-a-f-black
17,Ban the Bag Tote - Olive,$29.00,https://www.theahimsacollective.com//collections/all/products/ban-the-bag-olive,https://www.theahimsacollective.com//collections/all/products/ban-the-bag-olive
18,Ban the Bag Tote - Black,$29.00,https://www.theahimsacollective.com//collections/all/products/ban-the-bag-black,https://www.theahimsacollective.com//collections/all/products/ban-the-bag-black
19,Ban the Bag Tote - White,$29.00,https://www.theahimsacollective.com//collections/all/products/ban-the-bag,https://www.theahimsacollective.com//collections/all/products/ban-the-bag
20,Coin Purse - Metallic Blue,$49.00,https://www.theahimsacollective.com//collections/all/products/gift-card,https://www.theahimsacollective.com//collections/all/products/gift-card
21,Clutch Courage - Metallic Blue,$89.00,https://www.theahimsacollective.com//collections/all/products/coin-purse-metallic-blue-washable-paper,https://www.theahimsacollective.com//collections/all/products/coin-purse-metallic-blue-washable-paper
22,Metal Straws & Pouch - Metallic Pink,$24.00,https://www.theahimsacollective.com//collections/all/products/copy-of-coin-purse-metallic-blue-washable-paper,https://www.theahimsacollective.com//collections/all/products/copy-of-coin-purse-metallic-blue-washable-paper
