,descriptions_tags,image_links,links,names,percent recycled
0,Accessories,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200521132739_9_jsfwd_196_q18_1.png,https://plasticuniquelyrecycled.com/,PUR Jewelry,100
1,Accessories,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200515154828_9_jsfwd_196_q18_1.png,https://chicobag.com,Chico Reusable Bags ,100
2,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200518130259_9_jsfwd_196_q18_1.png,https://www.headsweats.com/categories/repreve/,Headsweats Performance Tee Shirts,100
3,Accessories,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200520203818_9_jsfwd_196_q18_1.png,https://www.kathmandu.co.nz/catalogsearch/result/index/?p=1&q=repreve&__cf_chl_captcha_tk__=5842de934a49ab5a2cfa602070cffe3e9e096382-1590020692-0-ATuOkGJjDM2n1Re5Lcr9_9xZBJ_1AQJXB03cph4KNT3r0630X3LFKowhYvGoS9bmlhhMipSrh3bfoR67pI_yu5qtV0up6Gu3zhC6xu06fenwGS4tS5YdZYMJCJFMhwPkpG0RplRXNWbugqfJXYD3cGHgvtBs1LI0soyzDtrMKL-o-i2U1QpDjS3-Qp7kJEIqtx4aVl2alb8gUZ5JeVUegB3NDHOd7ekozyJYYME8BmAAK87fKVCpZMf4yTu_Od_J8FV-Mf9NW0d8w4-Krt_zTX4NWPSN01qhF9a5XdFubUZuSmW2fYRhxtsSEyTakR9yDCu3b850ZhfGkFMKnVvqK3ZZVdEC97dXb0au0FAJJF2jI0RU3qQYgRhdhlhN0P4xWCiCvRcD1emsgilC48ie4p2rMWy58FM_240-jMQT_Clq9N76jXtCZkS1ajR4ZEDPtJN69OZhT1bUSZKxdVX5bq5cmOshmnbqVF58qa8LahcNsFlJqXDpFYP0cnJpD8AN882LboIVdkeJ6hglq2DutRzosHCGk81Tsmu-Sx5Ec5JJZ9dgAKPjSK8O_oWlQCAXPXqwSHwhToRsOSOq3RfnGGu4Ajxfb2hCP6lBb9CDpf-v,Kathmandu Packs and Bags,100
4,Accessories,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200518130536_9_jsfwd_196_q18_1.png,https://www.headsweats.com/categories/repreve/,Headsweats Cycling Caps,
5,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200512232530_9_jsfwd_196_q18_1.png,https://www.stio.com/pages/search-results?q=recycled,Stio Men and Women's Apparel,100
6,Other,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200426160312_9_jsfwd_196_q18_1.png,https://www.repatriotflag.com,Flags,100
7,Home Care,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200507104050_9_jsfwd_196_q18_1.png,http://www.evolutionbags.com,Trash Bag,94
8,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200425145334_9_jsfwd_196_q18_1.png,https://waterlust.com,Waterlust Men and Women's Swimwear and Active wear,88
9,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200520105922_9_jsfwd_196_q18_1.png,https://www.inspireactivewear.com,Inspire Active Wear Leggings,86
